```
Cosa si intende per serie di Fourier? | La serie di Fourier è la scomposizione di un segnale in componenti sinusoidali.
Cos'è un segnale a durata finita? | Un segnale che ripete infinite volte l'intero schema.
Come si rappresentano i segnali nella serie di Fourier? | Tramite funzioni che permettono un'analisi e una modellazione più efficace.
Qual è la formula della serie di Fourier? | $g(t)=\frac{1}{2}c+\sum_{n=1}^\infty a_n sen(2\pi nft)+\sum_{n=1}^\infty b_n cos(2\pi nft)$
Cosa rappresenta $f=1/T$ nella serie di Fourier? | La frequenza fondamentale.
Cosa rappresentano $a_n$ e $b_n$ nella serie di Fourier? | Le ampiezze seno e coseno dell'n-esima armonica.
Cosa rappresenta la costante \textit{c} nella serie di Fourier? | Una costante.
Qual è l'effetto dei mezzi di trasmissione sulla serie di Fourier? | Attenuano in modo non uniforme i componenti, generando distorsione.
Come si ovvia alla distorsione nei mezzi di trasmissione? | Le ampiezze fino a una certa frequenza vengono trasmesse senza modifiche, oltre quella frequenza vengono attenuate.
Cos'è la Banda Passante? | L'intervallo di frequenze trasmesse senza una forte attenuazione.
Come viene generalmente indicata la banda passante nella realtà? | Tra 0 e la frequenza dove la potenza è attenuata del 50%.
Qual è un pregio della serie di Fourier? | Permette uno studio più preciso del segnale scomponendolo in più componenti.
In quali ambiti viene usata la serie di Fourier? | Nelle comunicazioni per la trasmissione dei dati e la comprensione delle onde.
Perché si usa la scomposizione del segnale in più sinusoidi? | Migliora la comprensione delle onde.
Qual è il passo successivo dopo la scomposizione del segnale in sinusoidi? | Passare alle varie modulazioni per ovviare a problemi di attenuazioni o distorsioni.
```
```csv
Bitrate | Quantità di informazioni digitali trasferite o registrate nell'unità di tempo.
Bitrate | Misura la velocità di trasmissione in bit/s.
Bitrate | Anche chiamato Banda, dipende dal tipo di mezzo trasmissivo e dalle sue condizioni fisiche.
Baudrate | Numero di simboli trasmessi in un secondo.
Baudrate | Non va confuso con il bitrate, poiché misurano unità differenti.
Baudrate | Un simbolo corrisponde a un numero di bit differente in base alle tecniche di modulazione.
Pregi | Permettono di rappresentare quantitativamente la velocità di trasmissione del mezzo.
Ambiti d'uso | Utilizzate nelle reti wireless e cablate.
```
```
Tipi di cavo nelle telecomunicazioni | Doppino, cavo coassiale, fibra ottica
Composizione del doppino | Due conduttori di rame isolati avvolti elicoidalmente
Funzione dell'intreccio nel doppino | Annullare i campi elettromagnetici generati dai conduttori
Varietà principali di doppini per telecomunicazioni | UTP3 e UTP5
Differenza tra UTP3 e UTP5 | Numero di spire per centimetro: meno in UTP3, più in UTP5
Effetto di un maggior numero di spire nel doppino | Migliora la qualità del segnale su lunghe distanze
Utilizzo del doppino | Trasmissione di segnali analogici e digitali
Pregi del doppino | Costo basso e discreta velocità trasmissiva
Difetti del doppino | Ampiezza di banda limitata e vulnerabilità ai campi elettromagnetici
Ambiti d'uso del doppino | Sistema telefonico
